Name,VisitorReviews,BlogReviews,Rating,GuAddr,DongAddr
스타벅스 이수역점,4416,142,4.48,서초구,방배동
스타벅스 자양사거리점,4287,73,4.48,광진구,자양동
스타벅스 화곡역8번출구점,1028,26,4.48,강서구,화곡동
스타벅스 고척아이파크점,781,45,4.49,구로구,고척동
스타벅스 학여울역점,2733,72,4.46,강남구,대치동
스타벅스 신사가로수점,2768,133,4.56,강남구,신사동
스타벅스 등촌대로점,2024,88,4.39,강서구,염창동
스타벅스 석촌역점,3764,115,4.46,송파구,석촌동
스타벅스 도곡역점,2265,65,4.48,강남구,대치동
스타벅스 약수역점,4824,107,4.42,중구,신당동
스타벅스 동대문두타점,5485,80,4.44,중구,을지로6가
스타벅스 가산디지털점,5560,181,4.45,금천구,가산동
스타벅스 상일동역점,3301,57,4.45,강동구,고덕동
스타벅스 방학역점,3502,64,4.46,도봉구,방학동
스타벅스 방화DT점,5067,158,4.48,강서구,방화동
스타벅스 서울대입구역점,6816,309,4.51,관악구,봉천동
스타벅스 연신내점,5336,143,4.41,은평구,갈현동
스타벅스 양재역점,5338,227,4.45,서초구,양재동
스타벅스 마로니에공원점,7733,217,4.46,종로구,동숭동
스타벅스 성수역점,6509,186,4.45,성동구,성수동2가
스타벅스 을지로4가역점,3900,94,4.46,중구,을지로4가
스타벅스 성신여대정문점,6439,144,4.49,성북구,동선동2가
스타벅스 건국대점,4718,116,4.53,광진구,화양동
스타벅스 강남대로점,4053,210,4.5,강남구,역삼동
스타벅스 당산대로점,3129,81,4.59,영등포구,당산동6가
스타벅스 가양역사거리점,2801,46,4.46,강서구,등촌동
스타벅스 현대디큐브B2점,7050,208,4.48,구로구,신도림동
스타벅스 상봉점,7081,147,4.48,중랑구,상봉동
스타벅스 신촌점,5179,267,4.47,서대문구,창천동
스타벅스 아차산역점,5635,132,4.46,광진구,구의동
스타벅스 명동중앙로점,5612,96,4.48,중구,명동2가
스타벅스 신촌오거리점,4206,124,4.45,마포구,노고산동
스타벅스 동대문공원점,5025,130,4.45,중구,광희동1가
스타벅스 영등포시장역점,1258,41,4.58,영등포구,영등포동7가
스타벅스 수서역R점,4584,193,4.49,강남구,수서동
스타벅스 천호사거리점,2245,56,4.49,강동구,천호동
스타벅스 용산전자랜드점,939,40,4.42,용산구,한강로3가
스타벅스 타임스퀘어2F점,9450,230,4.46,영등포구,영등포동4가
스타벅스 여의도IFC(1F)점,4546,133,4.49,영등포구,여의도동
스타벅스 대학로점,6186,115,4.5,종로구,연건동
스타벅스 영등포구청역점,2916,117,4.45,영등포구,당산동3가
스타벅스 한티역점,2884,112,4.47,강남구,대치동
스타벅스 합정점,5397,158,4.47,마포구,합정동
스타벅스 염창역점,4321,128,4.44,강서구,염창동
